FID_grid,Longitude,Latitude,Samara species richness,Woody samara species richness,Herb samara species richness,Total species,Precentage of total samara,Precentage of woody samara,Precentage of herb samara,Altitude,TOP,ARI,MAT,MDR,TS,TWarmQ,MTCQ,AP,PS,PWQ,PDQ,AMeanW,AMaxW,AMinW
903,120.1356659,46.85413742,21,8,13,702,0.02991453,0.085106383,0.021416804,1115.1314,157.3404,0.722232788,-2.6125,13.69166667,1492.129541,14.78333333,-21.95,471,108.1207313,311,17,3.416666667,4.699999809,2.700000048
904,121.1067505,46.74850464,21,8,13,702,0.02991453,0.085106383,0.021416804,753.5078,208.5225,0.807520752,-0.3375,12.725,1451.85794,16.68333333,-19.1,474,117.6874866,331,12,3.316666683,4.5,2.599999905
905,122.3966675,46.59762955,9,3,6,327,0.027522936,0.103448276,0.02006689,320.2234,108.8175,0.33025296,3.2375,11.89166667,1449.611429,20.26666667,-15.51666667,432,126.1201216,315,7,3.333333353,4.5,2.599999905
906,123.680687,46.43537521,7,3,4,234,0.02991453,0.15,0.018691589,138.0939,7.7321,0.006528549,4.608333333,11.48333333,1484.401981,22.01666667,-14.68333333,398,124.0674181,284,6,3.491666635,4.699999809,2.799999952
907,124.9584122,46.26184464,12,3,9,370,0.032432432,0.090909091,0.026785714,144.9728,14.6294,0.002965424,3.891666667,12,1515.52996,21.53333333,-15.98333333,432,121.3467266,299,7,3.599999964,4.900000095,2.799999952
908,126.2294693,46.07713699,14,4,10,355,0.03943662,0.111111111,0.031347962,147.1116,24.1546,0.009174118,3.35,12.16666667,1555.319318,21.35,-17.16666667,522,113.179796,349,12,3.600000004,4.900000095,2.900000095
909,127.4934998,45.88136292,6,4,2,131,0.045801527,0.137931034,0.019607843,205.0646,111.596,0.0229543,2.908333333,12.63333333,1544.070526,20.66666667,-17.6,603,106.3145359,387,18,3.458333313,4.599999905,2.799999952
910,128.7501526,45.67463684,3,2,1,93,0.032258065,0.125,0.012987013,290.8638,239.1641,0.015829041,2.85,12.65,1538.808571,20.53333333,-17.6,611,101.7818588,380,19,3.474999984,4.400000095,2.700000048
911,129.9990845,45.45707321,6,4,2,105,0.057142857,0.148148148,0.025641026,433.195,174.9804,0.84978717,1.854166667,12.09166667,1463.048589,18.78333333,-17.41666667,601,99.67905144,372,20,3.625,4.400000095,2.700000048
912,131.267395,45.29937363,1,1,0,53,0.018867925,0.090909091,0,307.2008,130.3098,0.133387665,4.179166667,11.45833333,1393.658459,20.28333333,-14.11666667,545,92.40773445,318,22,3.341666679,4,2.599999905
913,132.2662811,45.34360123,11,6,5,465,0.023655914,0.098360656,0.012376238,79.8961,38.7703,0.009511597,4.3125,10.975,1391.212886,20.25,-14.08333333,567,82.08270037,300,27,2.991666655,3.700000048,2.400000095
914,83.16018677,46.75915527,21,4,17,905,0.02320442,0.031496063,0.02182285,828.9814,491.4215,0.197409119,6.0125,12.79166667,1307.716825,21.13333333,-10.93333333,290,29.19745918,95,49,2.691666683,3.5,1.700000048
915,84.11209869,46.80646133,5,1,4,216,0.023148148,0.043478261,0.020725389,1311.2005,578.9651,0.233730103,4.791666667,11.88333333,1413.425615,21.05,-13.58333333,258,44.05789807,103,32,2.716666679,3.700000048,1.600000024
916,85.49225616,46.92459869,12,1,11,749,0.016021362,0.010638298,0.016768293,1695.4976,684.6422,1.145364624,-0.095833333,11.35833333,1178.576681,13.91666667,-14.93333333,261,75.14304131,135,20,2.924999992,3.900000095,1.899999976
917,86.70040131,47.39961243,8,3,5,354,0.02259887,0.046153846,0.017241379,824.6169,382.3648,0.451603638,5.15,11.75,1370.966812,20.95,-12.65,151,44.1117634,58,17,2.666666647,3.5,2
918,88.003685,47.55896759,33,8,25,1085,0.030414747,0.048192771,0.027233115,839.7383,476.3861,0.239507813,4.891666667,12.46666667,1445.627944,21.26666667,-14.1,167,30.70975944,55,25,2.183333327,3.200000048,1.200000048
919,89.26713562,47.63837433,19,5,14,640,0.0296875,0.051020408,0.025830258,1976.6418,606.0437,1.001650269,0.179166667,12.925,1329.467526,15.58333333,-17.1,147,67.68622021,71,12,1.824999988,3,0.699999988
